Date,Barrel_oil_£
2016-04-11,28.43362
2016-04-04,28.117787999999997
2016-03-28,25.859690999999998
2016-03-21,27.89822
2016-03-14,27.237264
2016-03-07,26.78445
2016-02-29,25.244576000000002
2016-02-22,23.631102000000002
2016-02-15,20.576088000000002
2016-02-08,20.292992
2016-02-01,21.298655
2016-01-25,23.597877999999998
2016-01-18,22.565189999999998
2016-01-11,20.635188000000003
2016-01-04,22.837291999999998
2015-12-28,25.116824
2015-12-21,25.51176
2015-12-14,23.317721999999996
2015-12-07,23.405901999999998
2015-11-30,26.448148999999997
2015-11-23,27.737150000000003
2015-11-16,26.588737000000002
2015-11-09,26.741736
2015-11-02,29.430705
2015-10-26,30.199638000000004
2015-10-19,29.123800000000003
2015-10-12,30.619754
2015-10-05,32.428242
2015-09-28,29.992644
2015-09-21,30.09802
2015-09-14,28.769452
2015-09-07,28.924703
2015-08-31,30.351554999999998
2015-08-24,29.374912
2015-08-17,25.770695000000003
2015-08-10,27.166
2015-08-03,28.309310999999997
2015-07-27,30.161512
2015-07-20,31.031043999999998
2015-07-13,32.605223
2015-07-06,33.969834
2015-06-29,36.560446
2015-06-22,37.859087
2015-06-15,37.530456
2015-06-08,38.542288000000006
2015-06-01,38.724237
2015-05-25,39.4362
2015-05-18,38.555232
2015-05-11,37.96284
2015-05-04,38.42533
2015-04-27,39.06266
2015-04-20,37.627559999999995
2015-04-13,37.256616
2015-04-06,35.29594
2015-03-30,32.933628
2015-03-23,32.850414
2015-03-16,30.577536
2015-03-09,30.410488000000004
2015-03-02,32.99065
2015-02-23,32.239504000000004
2015-02-16,32.685762000000004
2015-02-09,34.275332
2015-02-02,33.903471
2015-01-26,32.012064
2015-01-19,30.413089000000003
2015-01-12,32.140268999999996
2015-01-05,31.898255999999996
2014-12-29,34.374956
2014-12-22,35.180444
2014-12-15,36.155844
2014-12-08,36.772941
2014-12-01,42.249528000000005
2014-11-24,42.269850000000005
2014-11-17,48.874588
2014-11-10,48.388324
2014-11-03,49.5495
2014-10-27,50.345554
2014-10-20,50.34771500000001
2014-10-13,51.412575
2014-10-06,53.380039999999994
2014-09-29,56.21313599999999
2014-09-22,57.57387000000001
2014-09-15,56.730498999999995
2014-09-08,56.718369
2014-09-01,57.140125000000005
2014-08-25,57.8159
2014-08-18,56.51777500000001
2014-08-11,58.302915
2014-08-04,58.209165
2014-07-28,58.18966
2014-07-21,60.141219
2014-07-14,60.351676000000005
2014-07-07,58.874637
2014-06-30,60.635762
2014-06-23,62.069379999999995
2014-06-16,63.047428000000004
2014-06-09,63.023445
2014-06-02,61.092966
2014-05-26,61.307598999999996
2014-05-19,61.973465
2014-05-12,60.671293999999996
2014-05-05,59.344065
2014-04-28,59.137728
2014-04-21,59.85699999999999
2014-04-14,62.058499999999995
2014-04-07,62.005398
2014-03-31,60.997533999999995
2014-03-24,61.10367
2014-03-17,60.332436
2014-03-10,59.413112
2014-03-03,61.363355999999996
2014-02-24,61.266748
2014-02-17,61.50396
2014-02-10,59.889129999999994
2014-02-03,60.856883999999994
2014-01-27,59.322665
2014-01-20,58.631488000000004
2014-01-13,57.461893
2014-01-06,56.253224
2013-12-30,57.231035999999996
2013-12-23,60.874176
2013-12-16,60.80370399999999
2013-12-09,59.27376
2013-12-02,59.72274000000001
2013-11-25,56.65192
2013-11-18,58.449892
2013-11-11,58.208952
2013-11-04,59.05877999999999
2013-10-28,59.405619
2013-10-21,60.53001
2013-10-14,62.35098500000001
2013-10-07,63.946136
2013-09-30,64.868848
2013-09-23,63.73825200000001
2013-09-16,65.404064
2013-09-09,68.161479
2013-09-02,70.717094
2013-08-26,69.41272000000001
2013-08-19,68.353566
2013-08-12,68.752908
2013-08-05,68.371844
2013-07-29,69.949454
2013-07-22,68.06547
2013-07-15,70.77275
2013-07-08,70.12830500000001
2013-07-01,69.322552
2013-06-24,63.468888
2013-06-17,60.76733399999999
2013-06-10,62.31088
2013-06-03,61.728084
2013-05-27,60.51626
2013-05-20,62.242565000000006
2013-05-13,63.296383999999996
2013-05-06,62.51243600000001
2013-04-29,61.391181
2013-04-22,60.0873
2013-04-15,57.787366
2013-04-08,59.51195100000001
2013-04-01,60.440400000000004
2013-03-25,63.938448
2013-03-18,61.52061499999999
2013-03-11,61.82652
2013-03-04,61.634085000000006
2013-02-25,60.329404000000004
2013-02-18,61.083967
2013-02-11,61.762598
2013-02-04,60.600332
2013-01-28,62.259936
2013-01-21,60.69204
2013-01-14,60.2028
2013-01-07,58.016556
2012-12-31,57.929907
2012-12-24,56.15071999999999
2012-12-17,54.827344
2012-12-10,53.668524000000005
2012-12-03,53.57735500000001
2012-11-26,55.488730999999994
2012-11-19,55.077892
2012-11-12,54.550098
2012-11-05,54.13802999999999
2012-10-29,52.961126
2012-10-22,53.562624
2012-10-15,56.26324
2012-10-08,57.155291999999996
2012-10-01,55.716612
2012-09-24,57.028734
2012-09-17,57.229529
2012-09-10,61.0533
2012-09-03,60.243216000000004
2012-08-27,60.795393999999995
2012-08-20,60.82449000000001
2012-08-13,61.167971
2012-08-06,59.195338
2012-07-30,58.42288
2012-07-23,57.232549999999996
2012-07-16,58.539888
2012-07-09,55.92691
2012-07-02,54.52092
2012-06-25,54.085536
2012-06-18,51.158064
2012-06-11,53.459886
2012-06-04,54.34542
2012-05-28,54.174407
2012-05-21,58.014109999999995
2012-05-14,57.833656
2012-05-07,59.812085999999994
2012-04-30,60.965309999999995
2012-04-23,64.500471
2012-04-16,63.901304999999994
2012-04-09,64.88573
2012-04-02,65.023314
2012-03-26,64.33599000000001
2012-03-19,67.349474
2012-03-12,67.565566
2012-03-05,68.52120000000001
2012-02-27,67.39172
2012-02-20,69.10021499999999
2012-02-13,65.19605999999999
2012-02-06,62.675184
2012-01-30,61.844664
2012-01-23,63.280336000000005
2012-01-16,63.23101199999999
2012-01-09,64.40174999999999
2012-01-02,65.821036
2011-12-26,63.606987999999994
2011-12-19,63.904848
2011-12-12,60.252026
2011-12-05,63.47328499999999
2011-11-28,64.705264
2011-11-21,62.639221
2011-11-14,61.670271
2011-11-07,61.581678999999994
