Date,Barrel_oil_£,Diesel(pence/litre),Petrol(pence/litre),Dutyrate,vat
2020-09-28,28.628535,118.14,113.3,57.95,20.0
2020-09-21,31.568075,118.16,113.31,57.95,20.0
2020-09-14,31.823251,118.18,113.32,57.95,20.0
2020-09-07,29.169662,118.22,113.37,57.95,20.0
2020-08-31,29.938856000000005,118.18,113.29,57.95,20.0
2020-08-24,32.175936,118.14,113.22,57.95,20.0
2020-08-17,32.33929200000001,118.0,113.04,57.95,20.0
2020-08-10,32.099841,118.01,113.02,57.95,20.0
2020-08-03,31.57452,117.97,112.91,57.95,20.0
2020-07-27,30.770307000000003,117.76,112.66,57.95,20.0
2020-07-20,32.276393,117.35,112.23,57.95,20.0
2020-07-13,32.297463,116.75,111.24,57.95,20.0
2020-07-06,32.123709999999996,115.05,109.43,57.95,20.0
2020-06-29,32.556585,114.1,108.31,57.95,20.0
2020-06-22,31.203843,112.98,107.13,57.95,20.0
2020-06-15,32.1657,112.53,106.37,57.95,20.0
2020-06-08,28.910097999999998,111.98,105.74,57.95,20.0
2020-06-01,31.228679999999997,111.76,105.17,57.95,20.0
2020-05-25,28.743351,111.7,104.87,57.95,20.0
2020-05-18,27.31155,112.22,105.09,57.95,20.0
2020-05-11,24.309179999999998,114.83,107.45,57.95,20.0
2020-05-04,19.937965999999996,114.94,107.56,57.95,20.0
2020-04-27,15.818066,115.22,107.88,57.95,20.0
2020-04-20,13.694296000000001,115.73,108.63,57.95,20.0
2020-04-13,14.616,116.15,109.27,57.95,20.0
2020-04-06,18.276280000000003,116.83,110.23,57.95,20.0
2020-03-30,23.114104,118.6,112.45,57.95,20.0
2020-03-23,17.266077,123.41,119.64,57.95,20.0
2020-03-16,19.265127,124.36,120.33,57.95,20.0
2020-03-09,25.840912,126.25,122.24,57.95,20.0
2020-03-02,31.632864,126.62,122.43,57.95,20.0
2020-02-24,34.9128,127.67,123.45,57.95,20.0
2020-02-17,41.15598,128.2,123.8,57.95,20.0
2020-02-10,39.891119999999994,129.7,124.73,57.95,20.0
2020-02-03,39.028192,131.48,125.85,57.95,20.0
2020-01-27,39.0567,132.88,127.33,57.95,20.0
2020-01-20,41.439093,132.74,127.18,57.95,20.0
2020-01-13,44.999698,132.69,127.17,57.95,20.0
2020-01-06,45.206928000000005,131.56,126.09,57.95,20.0
2019-12-30,48.176505,130.54,124.96,57.95,20.0
2019-12-23,47.197284,129.81,124.16,57.95,20.0
2019-12-16,46.47836,129.56,124.33,57.95,20.0
2019-12-09,45.076527999999996,129.79,124.75,57.95,20.0
2019-12-02,45.06304,129.79,124.81,57.95,20.0
2019-11-25,42.657444,130.08,125.32,57.95,20.0
2019-11-18,45.020161,130.35,125.58,57.95,20.0
2019-11-11,44.744544,130.42,125.59,57.95,20.0
2019-11-04,44.818920000000006,130.38,125.56,57.95,20.0
2019-10-28,43.44822,130.6,125.77,57.95,20.0
2019-10-21,44.189134,131.28,126.4,57.95,20.0
2019-10-14,41.459002000000005,131.89,126.91,57.95,20.0
2019-10-07,43.24582,131.82,126.87,57.95,20.0
2019-09-30,42.818348,131.83,126.92,57.95,20.0
2019-09-23,45.493967,131.52,126.78,57.95,20.0
2019-09-16,46.553326000000006,131.35,126.92,57.95,20.0
2019-09-09,43.874515,131.89,127.79,57.95,20.0
2019-09-02,46.018584000000004,132.29,127.86,57.95,20.0
2019-08-26,45.31975,132.51,128.22,57.95,20.0
2019-08-19,44.116048,132.6,128.17,57.95,20.0
2019-08-12,45.15801,132.59,128.36,57.95,20.0
2019-08-05,45.3004,132.61,128.37,57.95,20.0
2019-07-29,45.791481999999995,132.6,128.03,57.95,20.0
2019-07-22,45.38712,132.21,127.81,57.95,20.0
2019-07-15,44.498437,131.86,127.13,57.95,20.0
2019-07-08,47.885013,131.68,126.86,57.95,20.0
2019-07-01,45.921735,131.55,126.49,57.95,20.0
2019-06-24,46.056819,131.81,126.66,57.95,20.0
2019-06-17,45.071064,133.76,127.66,57.95,20.0
2019-06-10,41.703442,135.4,128.89,57.95,20.0
2019-06-03,42.392948000000004,136.39,129.41,57.95,20.0
2019-05-27,42.3399,136.45,129.14,57.95,20.0
2019-05-20,46.118358,135.82,128.51,57.95,20.0
2019-05-13,49.335636,135.36,127.97,57.95,20.0
2019-05-06,47.428872,135.41,127.5,57.95,20.0
2019-04-29,47.018654,134.6,126.36,57.95,20.0
2019-04-22,49.00053,133.99,125.43,57.95,20.0
2019-04-15,49.2352,132.96,124.06,57.95,20.0
2019-04-08,48.831127,132.08,122.75,57.95,20.0
2019-04-01,48.38236,131.48,121.7,57.95,20.0
2019-03-25,46.145421999999996,131.15,120.83,57.95,20.0
2019-03-18,44.69328,130.85,120.48,57.95,20.0
2019-03-11,44.012892,130.59,120.1,57.95,20.0
2019-03-04,43.067367,130.25,119.72,57.95,20.0
2019-02-25,42.25734,129.66,119.22,57.95,20.0
2019-02-18,43.866886,129.23,119.05,57.95,20.0
2019-02-11,43.12672200000001,129.17,118.97,57.95,20.0
2019-02-04,40.715655999999996,129.13,119.13,57.95,20.0
2019-01-28,42.246269999999996,129.1,119.29,57.95,20.0
2019-01-21,40.675544,128.92,119.12,57.95,20.0
2019-01-14,41.78646,129.47,119.53,57.95,20.0
2019-01-07,40.147338000000005,130.33,120.27,57.95,20.0
2018-12-31,37.701356000000004,130.26,120.18,57.95,20.0
2018-12-24,35.67471,130.91,120.61,57.95,20.0
2018-12-17,36.093603,131.26,121.02,57.95,20.0
2018-12-10,40.68352,132.5,122.37,57.95,20.0
2018-12-03,41.330416,134.38,124.3,57.95,20.0
2018-11-26,39.924027,135.43,125.77,57.95,20.0
2018-11-19,39.347768,136.38,127.4,57.95,20.0
2018-11-12,43.976694,137.08,128.94,57.95,20.0
2018-11-05,46.382414,137.03,130.11,57.95,20.0
2018-10-29,48.674626,136.99,130.64,57.95,20.0
2018-10-22,52.666128,136.93,130.98,57.95,20.0
2018-10-15,52.8768,136.63,130.81,57.95,20.0
2018-10-08,54.225534,135.53,130.15,57.95,20.0
2018-10-01,56.64708,134.86,129.98,57.95,20.0
2018-09-24,56.21205,134.77,130.59,57.95,20.0
2018-09-17,54.125466,134.57,130.59,57.95,20.0
2018-09-10,52.798047,134.31,130.24,57.95,20.0
2018-09-03,52.431725,133.67,129.76,57.95,20.0
2018-08-27,53.83674,133.2,129.18,57.95,20.0
2018-08-20,53.46416,132.97,128.79,57.95,20.0
2018-08-13,51.686622,132.56,128.39,57.95,20.0
2018-08-06,52.967816,132.39,128.02,57.95,20.0
2018-07-30,52.655111999999995,131.94,127.54,57.95,20.0
2018-07-23,52.389863,131.9,127.5,57.95,20.0
2018-07-16,53.64824399999999,131.85,127.47,57.95,20.0
2018-07-09,53.655156000000005,131.53,126.97,57.95,20.0
2018-07-02,55.549260000000004,130.83,126.54,57.95,20.0
2018-06-25,56.138965000000006,131.27,127.18,57.95,20.0
2018-06-18,51.681888,131.98,127.92,57.95,20.0
2018-06-11,48.970662000000004,132.62,128.61,57.95,20.0
2018-06-04,49.015744,132.34,128.43,57.95,20.0
2018-05-28,49.298271,131.66,127.58,57.95,20.0
2018-05-21,51.00503199999999,130.04,125.93,57.95,20.0
2018-05-14,52.904016,128.28,124.32,57.95,20.0
2018-05-07,52.19781,126.99,123.27,57.95,20.0
2018-04-30,51.516108,126.01,122.22,57.95,20.0
2018-04-23,49.42017,125.39,121.44,57.95,20.0
2018-04-16,48.823319999999995,124.29,120.56,57.95,20.0
2018-04-09,47.321258,123.58,119.96,57.95,20.0
2018-04-02,44.037776,123.05,119.43,57.95,20.0
2018-03-26,46.328196,122.9,119.23,57.95,20.0
2018-03-19,46.616687999999996,122.84,119.17,57.95,20.0
2018-03-12,44.722716000000005,122.96,119.11,57.95,20.0
2018-03-05,44.799084,122.92,119.29,57.95,20.0
2018-02-26,44.3695,123.09,119.55,57.95,20.0
2018-02-19,45.495445,124.18,120.52,57.95,20.0
2018-02-12,43.922328,125.02,121.58,57.95,20.0
2018-02-05,42.783840000000005,125.36,121.73,57.95,20.0
2018-01-29,46.345145,125.32,121.69,57.95,20.0
2018-01-22,46.674998,125.07,121.5,57.95,20.0
2018-01-15,45.746803,124.58,120.96,57.95,20.0
2018-01-08,46.83612,123.97,120.52,57.95,20.0
2018-01-01,45.275135999999996,123.51,120.19,57.95,20.0
2017-12-25,44.704758,123.43,120.0,57.95,20.0
2017-12-18,43.753100999999994,123.81,119.98,57.95,20.0
2017-12-11,43.01511,123.69,119.91,57.95,20.0
2017-12-04,42.836448,123.21,119.75,57.95,20.0
2017-11-27,43.314792,123.79,120.13,57.95,20.0
2017-11-20,44.20071,123.32,119.67,57.95,20.0
2017-11-13,42.79704,122.69,118.91,57.95,20.0
2017-11-06,43.014594,121.27,117.57,57.95,20.0
2017-10-30,42.553472,120.63,117.06,57.95,20.0
2017-10-23,41.05563,120.65,117.04,57.95,20.0
2017-10-16,39.024553999999995,120.42,117.01,57.95,20.0
2017-10-09,38.726415,120.51,117.16,57.95,20.0
2017-10-02,37.721637,120.37,118.13,57.95,20.0
2017-09-25,38.566488,120.92,118.87,57.95,20.0
2017-09-18,37.544126,120.59,118.85,57.95,20.0
2017-09-11,36.704073,119.94,118.14,57.95,20.0
2017-09-04,35.975596,118.77,116.95,57.95,20.0
2017-08-28,36.517338,118.24,116.4,57.95,20.0
2017-08-21,37.142333,118.05,116.04,57.95,20.0
2017-08-14,37.672866,117.43,115.53,57.95,20.0
2017-08-07,37.51817,116.64,114.78,57.95,20.0
2017-07-31,38.032818,115.99,114.16,57.95,20.0
2017-07-24,37.844223,115.73,113.99,57.95,20.0
2017-07-17,35.220015000000004,115.58,113.89,57.95,20.0
2017-07-10,35.537943999999996,115.29,113.58,57.95,20.0
2017-07-03,34.309211,115.63,113.74,57.95,20.0
2017-06-26,35.344908000000004,116.26,114.43,57.95,20.0
2017-06-19,33.818763,117.18,115.12,57.95,20.0
2017-06-12,35.017998,117.76,115.69,57.95,20.0
2017-06-05,35.958217999999995,117.95,115.82,57.95,20.0
2017-05-29,36.984159999999996,117.88,115.79,57.95,20.0
2017-05-22,38.8938,117.76,115.67,57.95,20.0
2017-05-15,38.608143,117.65,115.6,57.95,20.0
2017-05-08,37.11427200000001,119.34,117.06,57.95,20.0
2017-05-01,35.603266,120.78,118.08,57.95,20.0
2017-04-24,38.092625999999996,120.77,118.15,57.95,20.0
2017-04-17,38.723448,120.36,117.54,57.95,20.0
2017-04-10,42.458912,119.98,117.02,57.95,20.0
2017-04-03,42.220368,119.92,116.93,57.95,20.0
2017-03-27,40.3029,121.08,118.03,57.95,20.0
2017-03-20,38.462346,121.84,118.95,57.95,20.0
2017-03-13,39.355703999999996,122.77,119.8,57.95,20.0
2017-03-06,39.839384,122.9,120.02,57.95,20.0
2017-02-27,43.378622,123.06,120.12,57.95,20.0
2017-02-20,43.305379,123.15,120.2,57.95,20.0
2017-02-13,43.0137,123.17,120.15,57.95,20.0
2017-02-06,43.11493,123.25,120.18,57.95,20.0
2017-01-30,43.107063999999994,123.19,120.01,57.95,20.0
2017-01-23,42.349905,122.75,119.43,57.95,20.0
2017-01-16,42.360602,122.1,118.63,57.95,20.0
2017-01-09,43.006244,121.3,117.98,57.95,20.0
2017-01-02,43.937062,120.03,117.0,57.95,20.0
2016-12-26,43.54006,119.03,115.45,57.95,20.0
2016-12-19,43.13177,118.61,115.0,57.95,20.0
2016-12-12,41.53038,117.51,114.23,57.95,20.0
2016-12-05,40.9528,116.75,113.66,57.95,20.0
2016-11-28,40.599807999999996,116.57,113.72,57.95,20.0
2016-11-21,36.91709,117.42,114.71,57.95,20.0
2016-11-14,37.008900000000004,118.82,116.5,57.95,20.0
2016-11-07,34.445834999999995,119.03,116.56,57.95,20.0
2016-10-31,35.203116,118.42,116.02,57.95,20.0
2016-10-24,39.96322,117.7,115.2,57.95,20.0
2016-10-17,41.559705,116.0,113.72,57.95,20.0
2016-10-10,41.31721,114.4,112.35,57.95,20.0
2016-10-03,40.062183000000005,113.71,111.65,57.95,20.0
2016-09-26,37.173744,113.38,111.36,57.95,20.0
2016-09-19,34.285184,113.23,111.29,57.95,20.0
2016-09-12,33.098676,113.42,111.31,57.95,20.0
2016-09-05,34.584344,113.1,110.97,57.95,20.0
2016-08-29,33.432212,112.55,110.43,57.95,20.0
2016-08-22,36.263568,111.71,109.63,57.95,20.0
2016-08-15,37.108096,111.02,109.28,57.95,20.0
2016-08-08,34.426362000000005,111.4,109.75,57.95,20.0
2016-08-01,31.976999999999997,112.43,111.05,57.95,20.0
2016-07-25,31.4496,112.89,111.69,57.95,20.0
2016-07-18,33.708132,113.0,111.92,57.95,20.0
2016-07-11,34.8301,113.09,111.89,57.95,20.0
2016-07-04,35.051978999999996,112.86,111.65,57.95,20.0
2016-06-27,36.93846,112.56,111.44,57.95,20.0
2016-06-20,34.82484,112.31,111.22,57.95,20.0
2016-06-13,33.41807,111.99,111.03,57.95,20.0
2016-06-06,34.417698,111.43,110.4,57.95,20.0
2016-05-30,33.484593999999994,110.7,109.79,57.95,20.0
2016-05-23,33.726921,109.9,109.12,57.95,20.0
2016-05-16,32.928399999999996,109.3,108.53,57.95,20.0
2016-05-09,32.176023,109.0,108.19,57.95,20.0
2016-05-02,30.949379999999994,108.58,107.82,57.95,20.0
2016-04-25,31.423056000000003,107.67,107.14,57.95,20.0
2016-04-18,30.366111999999998,106.97,106.41,57.95,20.0
2016-04-11,28.43362,105.98,105.39,57.95,20.0
2016-04-04,28.117787999999997,105.32,104.51,57.95,20.0
2016-03-28,25.859690999999998,104.4,103.4,57.95,20.0
2016-03-21,27.89822,103.64,102.58,57.95,20.0
2016-03-14,27.237264,102.52,101.71,57.95,20.0
2016-03-07,26.78445,101.67,101.46,57.95,20.0
2016-02-29,25.244576000000002,101.38,101.42,57.95,20.0
2016-02-22,23.631102000000002,101.13,101.39,57.95,20.0
2016-02-15,20.576088000000002,101.21,101.45,57.95,20.0
2016-02-08,20.292992,101.14,101.51,57.95,20.0
2016-02-01,21.298655,100.84,101.36,57.95,20.0
2016-01-25,23.597877999999998,101.54,101.42,57.95,20.0
2016-01-18,22.565189999999998,102.81,101.8,57.95,20.0
2016-01-11,20.635188000000003,103.41,101.89,57.95,20.0
2016-01-04,22.837291999999998,106.32,102.0,57.95,20.0
2015-12-28,25.116824,106.43,102.11,57.95,20.0
2015-12-21,25.51176,107.04,102.33,57.95,20.0
2015-12-14,23.317721999999996,108.07,104.0,57.95,20.0
2015-12-07,23.405901999999998,109.92,106.75,57.95,20.0
2015-11-30,26.448148999999997,110.01,106.97,57.95,20.0
2015-11-23,27.737150000000003,110.27,107.29,57.95,20.0
2015-11-16,26.588737000000002,110.32,107.36,57.95,20.0
2015-11-09,26.741736,110.08,107.14,57.95,20.0
2015-11-02,29.430705,110.14,107.21,57.95,20.0
2015-10-26,30.199638000000004,110.61,108.04,57.95,20.0
2015-10-19,29.123800000000003,111.17,109.01,57.95,20.0
2015-10-12,30.619754,110.78,108.97,57.95,20.0
2015-10-05,32.428242,110.57,108.94,57.95,20.0
2015-09-28,29.992644,110.45,109.47,57.95,20.0
2015-09-21,30.09802,110.52,110.61,57.95,20.0
2015-09-14,28.769452,109.95,110.6,57.95,20.0
2015-09-07,28.924703,109.78,110.9,57.95,20.0
2015-08-31,30.351554999999998,109.92,111.21,57.95,20.0
2015-08-24,29.374912,111.05,113.23,57.95,20.0
2015-08-17,25.770695000000003,112.05,114.58,57.95,20.0
2015-08-10,27.166,114.2,115.48,57.95,20.0
2015-08-03,28.309310999999997,115.17,116.12,57.95,20.0
2015-07-27,30.161512,116.95,116.44,57.95,20.0
2015-07-20,31.031043999999998,118.43,116.79,57.95,20.0
2015-07-13,32.605223,118.83,116.41,57.95,20.0
2015-07-06,33.969834,120.76,116.34,57.95,20.0
2015-06-29,36.560446,120.99,116.55,57.95,20.0
2015-06-22,37.859087,121.21,116.6,57.95,20.0
2015-06-15,37.530456,121.3,116.39,57.95,20.0
2015-06-08,38.542288000000006,121.34,116.26,57.95,20.0
2015-06-01,38.724237,121.3,116.13,57.95,20.0
2015-05-25,39.4362,121.32,116.02,57.95,20.0
2015-05-18,38.555232,121.04,115.74,57.95,20.0
2015-05-11,37.96284,120.59,115.1,57.95,20.0
2015-05-04,38.42533,120.0,114.27,57.95,20.0
2015-04-27,39.06266,119.58,113.55,57.95,20.0
2015-04-20,37.627559999999995,119.14,112.87,57.95,20.0
2015-04-13,37.256616,119.15,112.52,57.95,20.0
2015-04-06,35.29594,119.09,112.37,57.95,20.0
2015-03-30,32.933628,118.97,112.06,57.95,20.0
2015-03-23,32.850414,118.71,111.65,57.95,20.0
2015-03-16,30.577536,118.26,111.04,57.95,20.0
2015-03-09,30.410488000000004,117.51,110.07,57.95,20.0
2015-03-02,32.99065,116.64,109.2,57.95,20.0
2015-02-23,32.239504000000004,115.74,108.34,57.95,20.0
2015-02-16,32.685762000000004,114.73,107.26,57.95,20.0
2015-02-09,34.275332,113.91,106.35,57.95,20.0
2015-02-02,33.903471,113.61,106.04,57.95,20.0
2015-01-26,32.012064,113.76,106.32,57.95,20.0
2015-01-19,30.413089000000003,114.33,106.83,57.95,20.0
2015-01-12,32.140268999999996,116.22,108.87,57.95,20.0
2015-01-05,31.898255999999996,117.93,111.06,57.95,20.0
2014-12-29,34.374956,120.36,113.16,57.95,20.0
2014-12-22,35.180444,120.81,113.66,57.95,20.0
2014-12-15,36.155844,122.43,116.3,57.95,20.0
2014-12-08,36.772941,124.79,119.83,57.95,20.0
2014-12-01,42.249528000000005,126.11,121.18,57.95,20.0
2014-11-24,42.269850000000005,127.17,122.29,57.95,20.0
2014-11-17,48.874588,127.31,122.5,57.95,20.0
2014-11-10,48.388324,127.59,122.94,57.95,20.0
2014-11-03,49.5495,128.56,123.94,57.95,20.0
2014-10-27,50.345554,129.72,125.11,57.95,20.0
2014-10-20,50.34771500000001,130.0,125.4,57.95,20.0
2014-10-13,51.412575,131.08,126.5,57.95,20.0
2014-10-06,53.380039999999994,131.43,126.78,57.95,20.0
2014-09-29,56.21313599999999,133.23,128.59,57.95,20.0
2014-09-22,57.57387000000001,133.32,128.62,57.95,20.0
2014-09-15,56.730498999999995,133.13,128.43,57.95,20.0
2014-09-08,56.718369,133.09,128.34,57.95,20.0
2014-09-01,57.140125000000005,132.77,128.01,57.95,20.0
2014-08-25,57.8159,133.16,128.34,57.95,20.0
2014-08-18,56.51777500000001,133.74,129.29,57.95,20.0
2014-08-11,58.302915,133.85,129.41,57.95,20.0
2014-08-04,58.209165,134.31,129.63,57.95,20.0
2014-07-28,58.18966,135.5,130.83,57.95,20.0
2014-07-21,60.141219,135.69,131.04,57.95,20.0
2014-07-14,60.351676000000005,136.17,131.11,57.95,20.0
2014-07-07,58.874637,136.22,131.1,57.95,20.0
2014-06-30,60.635762,136.04,130.69,57.95,20.0
2014-06-23,62.069379999999995,135.5,130.14,57.95,20.0
2014-06-16,63.047428000000004,135.54,129.88,57.95,20.0
2014-06-09,63.023445,136.04,129.69,57.95,20.0
2014-06-02,61.092966,136.38,129.63,57.95,20.0
2014-05-26,61.307598999999996,136.36,129.51,57.95,20.0
2014-05-19,61.973465,136.17,129.42,57.95,20.0
2014-05-12,60.671293999999996,136.37,129.5,57.95,20.0
2014-05-05,59.344065,136.16,129.27,57.95,20.0
2014-04-28,59.137728,135.93,129.09,57.95,20.0
2014-04-21,59.85699999999999,136.12,129.11,57.95,20.0
2014-04-14,62.058499999999995,136.05,128.89,57.95,20.0
2014-04-07,62.005398,136.01,128.71,57.95,20.0
2014-03-31,60.997533999999995,135.89,128.76,57.95,20.0
2014-03-24,61.10367,136.0,128.57,57.95,20.0
2014-03-17,60.332436,136.27,128.76,57.95,20.0
2014-03-10,59.413112,137.08,129.39,57.95,20.0
2014-03-03,61.363355999999996,137.15,129.36,57.95,20.0
2014-02-24,61.266748,136.95,129.2,57.95,20.0
2014-02-17,61.50396,136.81,129.16,57.95,20.0
2014-02-10,59.889129999999994,136.84,128.81,57.95,20.0
2014-02-03,60.856883999999994,136.84,128.85,57.95,20.0
2014-01-27,59.322665,136.94,129.02,57.95,20.0
2014-01-20,58.631488000000004,137.23,129.37,57.95,20.0
2014-01-13,57.461893,138.34,130.36,57.95,20.0
2014-01-06,56.253224,138.11,130.26,57.95,20.0
2013-12-30,57.231035999999996,137.98,130.03,57.95,20.0
2013-12-23,60.874176,138.17,130.05,57.95,20.0
2013-12-16,60.80370399999999,138.84,130.96,57.95,20.0
2013-12-09,59.27376,138.55,130.76,57.95,20.0
2013-12-02,59.72274000000001,137.9,130.25,57.95,20.0
2013-11-25,56.65192,137.72,130.03,57.95,20.0
2013-11-18,58.449892,137.47,129.89,57.95,20.0
2013-11-11,58.208952,137.32,129.71,57.95,20.0
2013-11-04,59.05877999999999,137.51,129.92,57.95,20.0
2013-10-28,59.405619,138.88,131.42,57.95,20.0
2013-10-21,60.53001,138.99,131.53,57.95,20.0
2013-10-14,62.35098500000001,139.15,131.67,57.95,20.0
2013-10-07,63.946136,138.83,131.62,57.95,20.0
2013-09-30,64.868848,140.19,133.4,57.95,20.0
2013-09-23,63.73825200000001,142.09,136.95,57.95,20.0
2013-09-16,65.404064,142.52,137.47,57.95,20.0
2013-09-09,68.161479,142.67,137.6,57.95,20.0
2013-09-02,70.717094,142.09,137.14,57.95,20.0
2013-08-19,68.353566,141.73,137.0,57.95,20.0
2013-08-12,68.752908,141.82,137.13,57.95,20.0
2013-08-05,68.371844,141.67,137.02,57.95,20.0
2013-07-29,69.949454,141.44,136.87,57.95,20.0
2013-07-22,68.06547,140.72,136.04,57.95,20.0
2013-07-15,70.77275,139.84,134.95,57.95,20.0
2013-07-08,70.12830500000001,138.73,133.77,57.95,20.0
2013-07-01,69.322552,138.51,133.44,57.95,20.0
2013-06-24,63.468888,139.64,134.52,57.95,20.0
2013-06-17,60.76733399999999,139.54,134.46,57.95,20.0
2013-06-10,62.31088,139.43,134.3,57.95,20.0
2013-06-03,61.728084,139.17,134.04,57.95,20.0
2013-05-27,60.51626,138.82,133.64,57.95,20.0
2013-05-20,62.242565000000006,138.42,133.17,57.95,20.0
2013-05-13,63.296383999999996,138.27,133.12,57.95,20.0
2013-05-06,62.51243600000001,138.54,133.42,57.95,20.0
2013-04-29,61.391181,139.59,134.66,57.95,20.0
2013-04-22,60.0873,140.64,135.68,57.95,20.0
2013-04-15,57.787366,141.67,137.11,57.95,20.0
